tool	rank	metric	sample	value
Gold standard	family	False negatives	sample_0	0.0
Gold standard	family	False positives	sample_0	0.0
Gold standard	family	Completeness	sample_0	1.0
Gold standard	family	Purity	sample_0	1.0
Gold standard	family	F1 score	sample_0	1.0
Gold standard	family	Jaccard index	sample_0	1.0
Gold standard	family	Taxon counts	sample_0	26.0
Gold standard	genus	True positives	sample_0	50.0
Gold standard	genus	False negatives	sample_0	0.0
Gold standard	genus	False positives	sample_0	0.0
Gold standard	genus	Completeness	sample_0	1.0
Gold standard	genus	Purity	sample_0	1.0
Gold standard	genus	F1 score	sample_0	1.0
Gold standard	genus	Jaccard index	sample_0	1.0
Gold standard	genus	Taxon counts	sample_0	50.0
Gold standard	species	True positives	sample_0	80.0
Gold standard	species	False negatives	sample_0	0.0
Gold standard	species	False positives	sample_0	0.0
Gold standard	species	Completeness	sample_0	1.0
Gold standard	species	Purity	sample_0	1.0
Gold standard	species	F1 score	sample_0	1.0
Gold standard	species	Jaccard index	sample_0	1.0
Gold standard	species	Taxon counts	sample_0	80.0
Gold standard	strain	True positives	sample_0	80.0
Gold standard	strain	False negatives	sample_0	0.0
Gold standard	strain	False positives	sample_0	0.0
Gold standard	strain	Completeness	sample_0	1.0
Gold standard	strain	Purity	sample_0	1.0
Gold standard	strain	F1 score	sample_0	1.0
Gold standard	strain	Jaccard index	sample_0	1.0
Gold standard	strain	Taxon counts	sample_0	80.0
Gold standard	superkingdom	L1 norm error	sample_0	0.0
Gold standard	phylum	L1 norm error	sample_0	0.0
Gold standard	class	L1 norm error	sample_0	0.0
Gold standard	order	L1 norm error	sample_0	0.0
Gold standard	family	L1 norm error	sample_0	0.0
Gold standard	genus	L1 norm error	sample_0	0.0
Gold standard	species	L1 norm error	sample_0	0.0
Gold standard	strain	L1 norm error	sample_0	0.0
Gold standard	na	Weighted UniFrac error	sample_0	0.0
Gold standard	na	Unweighted UniFrac error	sample_0	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_1	0.0
Gold standard	phylum	Bray-Curtis distance	sample_1	0.0
Gold standard	class	Bray-Curtis distance	sample_1	0.0
Gold standard	order	Bray-Curtis distance	sample_1	0.0
Gold standard	family	Bray-Curtis distance	sample_1	0.0
Gold standard	genus	Bray-Curtis distance	sample_1	0.0
Gold standard	species	Bray-Curtis distance	sample_1	0.0
Gold standard	strain	Bray-Curtis distance	sample_1	0.0
Gold standard	superkingdom	Shannon diversity	sample_1	0.0
Gold standard	superkingdom	Shannon equitability	sample_1	0.0
Gold standard	phylum	Shannon diversity	sample_1	0.3082087066034464
Gold standard	phylum	Shannon equitability	sample_1	0.44465117257559367
Gold standard	class	Shannon diversity	sample_1	0.9418483836267896
Gold standard	class	Shannon equitability	sample_1	0.5852033038058275
Gold standard	order	Shannon diversity	sample_1	2.3150026289050354
Gold standard	order	Shannon equitability	sample_1	0.8548595694285137
Gold standard	family	Shannon diversity	sample_1	2.9507820940516587
Gold standard	family	Shannon equitability	sample_1	0.9167119996536309
Gold standard	genus	Shannon diversity	sample_1	3.532861878506099
Gold standard	genus	Shannon equitability	sample_1	0.907765931592784
Gold standard	species	Shannon diversity	sample_1	4.240862437056322
Gold standard	species	Shannon equitability	sample_1	0.9650498362342377
Gold standard	strain	Shannon diversity	sample_1	4.240862437056322
Gold standard	strain	Shannon equitability	sample_1	0.9650498362342377
Gold standard	superkingdom	True positives	sample_1	1.0
Gold standard	superkingdom	False negatives	sample_1	0.0
Gold standard	superkingdom	False positives	sample_1	0.0
Gold standard	superkingdom	Completeness	sample_1	1.0
Gold standard	superkingdom	Purity	sample_1	1.0
Gold standard	superkingdom	F1 score	sample_1	1.0
Gold standard	superkingdom	Jaccard index	sample_1	1.0
Gold standard	superkingdom	Taxon counts	sample_1	1.0
Gold standard	phylum	True positives	sample_1	2.0
Gold standard	phylum	False negatives	sample_1	0.0
Gold standard	phylum	False positives	sample_1	0.0
Gold standard	phylum	Completeness	sample_1	1.0
Gold standard	phylum	Purity	sample_1	1.0
Gold standard	phylum	F1 score	sample_1	1.0
Gold standard	phylum	Jaccard index	sample_1	1.0
Gold standard	phylum	Taxon counts	sample_1	2.0
Gold standard	class	True positives	sample_1	5.0
Gold standard	class	False negatives	sample_1	0.0
Gold standard	class	False positives	sample_1	0.0
Gold standard	class	Completeness	sample_1	1.0
Gold standard	class	Purity	sample_1	1.0
Gold standard	class	F1 score	sample_1	1.0
Gold standard	class	Jaccard index	sample_1	1.0
Gold standard	class	Taxon counts	sample_1	5.0
Gold standard	order	True positives	sample_1	15.0
Gold standard	order	False negatives	sample_1	0.0
Gold standard	order	False positives	sample_1	0.0
Gold standard	order	Completeness	sample_1	1.0
Gold standard	order	Purity	sample_1	1.0
Gold standard	order	F1 score	sample_1	1.0
Gold standard	order	Jaccard index	sample_1	1.0
Gold standard	order	Taxon counts	sample_1	15.0
Gold standard	family	True positives	sample_1	25.0
Gold standard	family	False negatives	sample_1	0.0
Gold standard	family	False positives	sample_1	0.0
Gold standard	family	Completeness	sample_1	1.0
Gold standard	family	Purity	sample_1	1.0
Gold standard	family	F1 score	sample_1	1.0
Gold standard	family	Jaccard index	sample_1	1.0
Gold standard	family	Taxon counts	sample_1	25.0
Gold standard	genus	True positives	sample_1	49.0
Gold standard	genus	False negatives	sample_1	0.0
Gold standard	genus	False positives	sample_1	0.0
Gold standard	genus	Completeness	sample_1	1.0
Gold standard	genus	Purity	sample_1	1.0
Gold standard	genus	F1 score	sample_1	1.0
Gold standard	genus	Jaccard index	sample_1	1.0
Gold standard	genus	Taxon counts	sample_1	49.0
Gold standard	species	True positives	sample_1	81.0
Gold standard	species	False negatives	sample_1	0.0
Gold standard	species	False positives	sample_1	0.0
Gold standard	species	Completeness	sample_1	1.0
Gold standard	species	Purity	sample_1	1.0
Gold standard	species	F1 score	sample_1	1.0
Gold standard	species	Jaccard index	sample_1	1.0
Gold standard	species	Taxon counts	sample_1	81.0
Gold standard	strain	True positives	sample_1	81.0
Gold standard	strain	False negatives	sample_1	0.0
Gold standard	strain	False positives	sample_1	0.0
Gold standard	strain	Completeness	sample_1	1.0
Gold standard	strain	Purity	sample_1	1.0
Gold standard	strain	F1 score	sample_1	1.0
Gold standard	strain	Jaccard index	sample_1	1.0
Gold standard	strain	Taxon counts	sample_1	81.0
Gold standard	superkingdom	L1 norm error	sample_1	0.0
Gold standard	phylum	L1 norm error	sample_1	0.0
Gold standard	class	L1 norm error	sample_1	0.0
Gold standard	order	L1 norm error	sample_1	0.0
Gold standard	family	L1 norm error	sample_1	0.0
Gold standard	genus	L1 norm error	sample_1	0.0
Gold standard	species	L1 norm error	sample_1	0.0
Gold standard	strain	L1 norm error	sample_1	0.0
Gold standard	na	Weighted UniFrac error	sample_1	0.0
Gold standard	na	Unweighted UniFrac error	sample_1	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_2	0.0
Gold standard	phylum	Bray-Curtis distance	sample_2	0.0
Gold standard	class	Bray-Curtis distance	sample_2	0.0
Gold standard	order	Bray-Curtis distance	sample_2	0.0
Gold standard	family	Bray-Curtis distance	sample_2	0.0
Gold standard	genus	Bray-Curtis distance	sample_2	0.0
Gold standard	species	Bray-Curtis distance	sample_2	0.0
Gold standard	strain	Bray-Curtis distance	sample_2	0.0
Gold standard	superkingdom	Shannon diversity	sample_2	0.0
Gold standard	superkingdom	Shannon equitability	sample_2	0.0
Gold standard	phylum	Shannon diversity	sample_2	0.2789842457166069
Gold standard	phylum	Shannon equitability	sample_2	0.40248918778149684
Gold standard	class	Shannon diversity	sample_2	1.0364742934369378
Gold standard	class	Shannon equitability	sample_2	0.6439976872853597
Gold standard	order	Shannon diversity	sample_2	2.294504059188466
Gold standard	order	Shannon equitability	sample_2	0.847290075440468
Gold standard	family	Shannon diversity	sample_2	2.999142688344057
Gold standard	family	Shannon equitability	sample_2	0.9317360629985965
Gold standard	genus	Shannon diversity	sample_2	3.5260120062704026
Gold standard	genus	Shannon equitability	sample_2	0.9013270119776565
Gold standard	species	Shannon diversity	sample_2	4.195265411187622
Gold standard	species	Shannon equitability	sample_2	0.9468379311649302
Gold standard	strain	Shannon diversity	sample_2	4.195265411187622
Gold standard	strain	Shannon equitability	sample_2	0.9468379311649302
Gold standard	superkingdom	True positives	sample_2	1.0
Gold standard	superkingdom	False negatives	sample_2	0.0
Gold standard	superkingdom	False positives	sample_2	0.0
Gold standard	superkingdom	Completeness	sample_2	1.0
Gold standard	superkingdom	Purity	sample_2	1.0
Gold standard	superkingdom	F1 score	sample_2	1.0
Gold standard	superkingdom	Jaccard index	sample_2	1.0
Gold standard	superkingdom	Taxon counts	sample_2	1.0
Gold standard	phylum	True positives	sample_2	2.0
Gold standard	phylum	False negatives	sample_2	0.0
Gold standard	phylum	False positives	sample_2	0.0
Gold standard	phylum	Completeness	sample_2	1.0
Gold standard	phylum	Purity	sample_2	1.0
Gold standard	phylum	F1 score	sample_2	1.0
Gold standard	phylum	Jaccard index	sample_2	1.0
Gold standard	phylum	Taxon counts	sample_2	2.0
Gold standard	class	True positives	sample_2	5.0
Gold standard	class	False negatives	sample_2	0.0
Gold standard	class	False positives	sample_2	0.0
Gold standard	class	Completeness	sample_2	1.0
Gold standard	class	Purity	sample_2	1.0
Gold standard	class	F1 score	sample_2	1.0
Gold standard	class	Jaccard index	sample_2	1.0
Gold standard	class	Taxon counts	sample_2	5.0
Gold standard	order	True positives	sample_2	15.0
Gold standard	order	False negatives	sample_2	0.0
Gold standard	order	False positives	sample_2	0.0
Gold standard	order	Completeness	sample_2	1.0
Gold standard	order	Purity	sample_2	1.0
Gold standard	order	F1 score	sample_2	1.0
Gold standard	order	Jaccard index	sample_2	1.0
Gold standard	order	Taxon counts	sample_2	15.0
Gold standard	family	True positives	sample_2	25.0
Gold standard	family	False negatives	sample_2	0.0
Gold standard	family	False positives	sample_2	0.0
Gold standard	family	Completeness	sample_2	1.0
Gold standard	family	Purity	sample_2	1.0
Gold standard	family	F1 score	sample_2	1.0
Gold standard	family	Jaccard index	sample_2	1.0
Gold standard	family	Taxon counts	sample_2	25.0
Gold standard	genus	True positives	sample_2	50.0
Gold standard	genus	False negatives	sample_2	0.0
Gold standard	genus	False positives	sample_2	0.0
Gold standard	genus	Completeness	sample_2	1.0
Gold standard	genus	Purity	sample_2	1.0
Gold standard	genus	F1 score	sample_2	1.0
Gold standard	genus	Jaccard index	sample_2	1.0
Gold standard	genus	Taxon counts	sample_2	50.0
Gold standard	species	True positives	sample_2	84.0
Gold standard	species	False negatives	sample_2	0.0
Gold standard	species	False positives	sample_2	0.0
Gold standard	species	Completeness	sample_2	1.0
Gold standard	species	Purity	sample_2	1.0
Gold standard	species	F1 score	sample_2	1.0
Gold standard	species	Jaccard index	sample_2	1.0
Gold standard	species	Taxon counts	sample_2	84.0
Gold standard	strain	True positives	sample_2	84.0
Gold standard	strain	False negatives	sample_2	0.0
Gold standard	strain	False positives	sample_2	0.0
Gold standard	strain	Completeness	sample_2	1.0
Gold standard	strain	Purity	sample_2	1.0
Gold standard	strain	F1 score	sample_2	1.0
Gold standard	strain	Jaccard index	sample_2	1.0
Gold standard	strain	Taxon counts	sample_2	84.0
Gold standard	superkingdom	L1 norm error	sample_2	0.0
Gold standard	phylum	L1 norm error	sample_2	0.0
Gold standard	class	L1 norm error	sample_2	0.0
Gold standard	order	L1 norm error	sample_2	0.0
Gold standard	family	L1 norm error	sample_2	0.0
Gold standard	genus	L1 norm error	sample_2	0.0
Gold standard	species	L1 norm error	sample_2	0.0
Gold standard	strain	L1 norm error	sample_2	0.0
Gold standard	na	Weighted UniFrac error	sample_2	0.0
Gold standard	na	Unweighted UniFrac error	sample_2	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_3	0.0
Gold standard	phylum	Bray-Curtis distance	sample_3	0.0
Gold standard	class	Bray-Curtis distance	sample_3	0.0
Gold standard	order	Bray-Curtis distance	sample_3	0.0
Gold standard	family	Bray-Curtis distance	sample_3	0.0
Gold standard	genus	Bray-Curtis distance	sample_3	0.0
Gold standard	species	Bray-Curtis distance	sample_3	0.0
Gold standard	strain	Bray-Curtis distance	sample_3	0.0
Gold standard	superkingdom	Shannon diversity	sample_3	0.0
Gold standard	superkingdom	Shannon equitability	sample_3	0.0
Gold standard	phylum	Shannon diversity	sample_3	0.28135065705142337
Gold standard	phylum	Shannon equitability	sample_3	0.40590319767893995
Gold standard	class	Shannon diversity	sample_3	0.9265443260975562
Gold standard	class	Shannon equitability	sample_3	0.5756943582224048
Gold standard	order	Shannon diversity	sample_3	2.1939492001019407
Gold standard	order	Shannon equitability	sample_3	0.8101582456665597
Gold standard	family	Shannon diversity	sample_3	2.9839522454838514
Gold standard	family	Shannon equitability	sample_3	0.9270168865883578
Gold standard	genus	Shannon diversity	sample_3	3.596311542746359
Gold standard	genus	Shannon equitability	sample_3	0.9146670983612536
Gold standard	species	Shannon diversity	sample_3	4.24679192812886
Gold standard	species	Shannon equitability	sample_3	0.9559138638047892
Gold standard	strain	Shannon diversity	sample_3	4.24679192812886
Gold standard	strain	Shannon equitability	sample_3	0.9559138638047892
Gold standard	superkingdom	True positives	sample_3	1.0
Gold standard	superkingdom	False negatives	sample_3	0.0
Gold standard	superkingdom	False positives	sample_3	0.0
Gold standard	superkingdom	Completeness	sample_3	1.0
Gold standard	superkingdom	Purity	sample_3	1.0
Gold standard	superkingdom	F1 score	sample_3	1.0
Gold standard	superkingdom	Jaccard index	sample_3	1.0
Gold standard	superkingdom	Taxon counts	sample_3	1.0
Gold standard	phylum	True positives	sample_3	2.0
Gold standard	phylum	False negatives	sample_3	0.0
Gold standard	phylum	False positives	sample_3	0.0
Gold standard	phylum	Completeness	sample_3	1.0
Gold standard	phylum	Purity	sample_3	1.0
Gold standard	phylum	F1 score	sample_3	1.0
Gold standard	phylum	Jaccard index	sample_3	1.0
Gold standard	phylum	Taxon counts	sample_3	2.0
Gold standard	class	True positives	sample_3	5.0
Gold standard	class	False negatives	sample_3	0.0
Gold standard	class	False positives	sample_3	0.0
Gold standard	class	Completeness	sample_3	1.0
Gold standard	class	Purity	sample_3	1.0
Gold standard	class	F1 score	sample_3	1.0
Gold standard	class	Jaccard index	sample_3	1.0
Gold standard	class	Taxon counts	sample_3	5.0
Gold standard	order	True positives	sample_3	15.0
Gold standard	order	False negatives	sample_3	0.0
Gold standard	order	False positives	sample_3	0.0
Gold standard	order	Completeness	sample_3	1.0
Gold standard	order	Purity	sample_3	1.0
Gold standard	order	F1 score	sample_3	1.0
Gold standard	order	Jaccard index	sample_3	1.0
Gold standard	order	Taxon counts	sample_3	15.0
Gold standard	family	True positives	sample_3	25.0
Gold standard	family	False negatives	sample_3	0.0
Gold standard	family	False positives	sample_3	0.0
Gold standard	family	Completeness	sample_3	1.0
Gold standard	family	Purity	sample_3	1.0
Gold standard	family	F1 score	sample_3	1.0
Gold standard	family	Jaccard index	sample_3	1.0
Gold standard	family	Taxon counts	sample_3	25.0
Gold standard	genus	True positives	sample_3	51.0
Gold standard	genus	False negatives	sample_3	0.0
Gold standard	genus	False positives	sample_3	0.0
Gold standard	genus	Completeness	sample_3	1.0
Gold standard	genus	Purity	sample_3	1.0
Gold standard	genus	F1 score	sample_3	1.0
Gold standard	genus	Jaccard index	sample_3	1.0
Gold standard	genus	Taxon counts	sample_3	51.0
Gold standard	species	True positives	sample_3	85.0
Gold standard	species	False negatives	sample_3	0.0
Gold standard	species	False positives	sample_3	0.0
Gold standard	species	Completeness	sample_3	1.0
Gold standard	species	Purity	sample_3	1.0
Gold standard	species	F1 score	sample_3	1.0
Gold standard	species	Jaccard index	sample_3	1.0
Gold standard	species	Taxon counts	sample_3	85.0
Gold standard	strain	True positives	sample_3	85.0
Gold standard	strain	False negatives	sample_3	0.0
Gold standard	strain	False positives	sample_3	0.0
Gold standard	strain	Completeness	sample_3	1.0
Gold standard	strain	Purity	sample_3	1.0
Gold standard	strain	F1 score	sample_3	1.0
Gold standard	strain	Jaccard index	sample_3	1.0
Gold standard	strain	Taxon counts	sample_3	85.0
Gold standard	superkingdom	L1 norm error	sample_3	0.0
Gold standard	phylum	L1 norm error	sample_3	0.0
Gold standard	class	L1 norm error	sample_3	0.0
Gold standard	order	L1 norm error	sample_3	0.0
Gold standard	family	L1 norm error	sample_3	0.0
Gold standard	genus	L1 norm error	sample_3	0.0
Gold standard	species	L1 norm error	sample_3	0.0
Gold standard	strain	L1 norm error	sample_3	0.0
Gold standard	na	Weighted UniFrac error	sample_3	0.0
Gold standard	na	Unweighted UniFrac error	sample_3	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_4	0.0
Gold standard	phylum	Bray-Curtis distance	sample_4	0.0
Gold standard	class	Bray-Curtis distance	sample_4	0.0
Gold standard	order	Bray-Curtis distance	sample_4	0.0
Gold standard	family	Bray-Curtis distance	sample_4	0.0
Gold standard	genus	Bray-Curtis distance	sample_4	0.0
Gold standard	species	Bray-Curtis distance	sample_4	0.0
Gold standard	strain	Bray-Curtis distance	sample_4	0.0
Gold standard	superkingdom	Shannon diversity	sample_4	0.0
Gold standard	superkingdom	Shannon equitability	sample_4	0.0
Gold standard	phylum	Shannon diversity	sample_4	0.32644093062453367
Gold standard	phylum	Shannon equitability	sample_4	0.4709547117551929
Gold standard	class	Shannon diversity	sample_4	0.8698624595718375
Gold standard	class	Shannon equitability	sample_4	0.5404759343939307
Gold standard	order	Shannon diversity	sample_4	2.2387679202640554
Gold standard	order	Shannon equitability	sample_4	0.8267084263625722
Gold standard	family	Shannon diversity	sample_4	2.9837020000744445
Gold standard	family	Shannon equitability	sample_4	0.926939143480819
Gold standard	genus	Shannon diversity	sample_4	3.496332386817743
Gold standard	genus	Shannon equitability	sample_4	0.898379708979656
Gold standard	species	Shannon diversity	sample_4	4.198238372694688
Gold standard	species	Shannon equitability	sample_4	0.9526902298804281
Gold standard	strain	Shannon diversity	sample_4	4.198238372694688
Gold standard	strain	Shannon equitability	sample_4	0.9526902298804281
Gold standard	superkingdom	True positives	sample_4	1.0
Gold standard	superkingdom	False negatives	sample_4	0.0
Gold standard	superkingdom	False positives	sample_4	0.0
Gold standard	superkingdom	Completeness	sample_4	1.0
Gold standard	superkingdom	Purity	sample_4	1.0
Gold standard	superkingdom	F1 score	sample_4	1.0
Gold standard	superkingdom	Jaccard index	sample_4	1.0
Gold standard	superkingdom	Taxon counts	sample_4	1.0
Gold standard	phylum	True positives	sample_4	2.0
Gold standard	phylum	False negatives	sample_4	0.0
Gold standard	phylum	False positives	sample_4	0.0
Gold standard	phylum	Completeness	sample_4	1.0
Gold standard	phylum	Purity	sample_4	1.0
Gold standard	phylum	F1 score	sample_4	1.0
Gold standard	phylum	Jaccard index	sample_4	1.0
Gold standard	phylum	Taxon counts	sample_4	2.0
Gold standard	class	True positives	sample_4	5.0
Gold standard	class	False negatives	sample_4	0.0
Gold standard	class	False positives	sample_4	0.0
Gold standard	class	Completeness	sample_4	1.0
Gold standard	class	Purity	sample_4	1.0
Gold standard	class	F1 score	sample_4	1.0
Gold standard	class	Jaccard index	sample_4	1.0
Gold standard	class	Taxon counts	sample_4	5.0
Gold standard	order	True positives	sample_4	15.0
Gold standard	order	False negatives	sample_4	0.0
Gold standard	order	False positives	sample_4	0.0
Gold standard	order	Completeness	sample_4	1.0
Gold standard	order	Purity	sample_4	1.0
Gold standard	order	F1 score	sample_4	1.0
Gold standard	order	Jaccard index	sample_4	1.0
Gold standard	order	Taxon counts	sample_4	15.0
Gold standard	family	True positives	sample_4	25.0
Gold standard	family	False negatives	sample_4	0.0
Gold standard	family	False positives	sample_4	0.0
Gold standard	family	Completeness	sample_4	1.0
Gold standard	family	Purity	sample_4	1.0
Gold standard	family	F1 score	sample_4	1.0
Gold standard	family	Jaccard index	sample_4	1.0
Gold standard	family	Taxon counts	sample_4	25.0
Gold standard	genus	True positives	sample_4	49.0
Gold standard	genus	False negatives	sample_4	0.0
Gold standard	genus	False positives	sample_4	0.0
Gold standard	genus	Completeness	sample_4	1.0
Gold standard	genus	Purity	sample_4	1.0
Gold standard	genus	F1 score	sample_4	1.0
Gold standard	genus	Jaccard index	sample_4	1.0
Gold standard	genus	Taxon counts	sample_4	49.0
Gold standard	species	True positives	sample_4	82.0
Gold standard	species	False negatives	sample_4	0.0
Gold standard	species	False positives	sample_4	0.0
Gold standard	species	Completeness	sample_4	1.0
Gold standard	species	Purity	sample_4	1.0
Gold standard	species	F1 score	sample_4	1.0
Gold standard	species	Jaccard index	sample_4	1.0
Gold standard	species	Taxon counts	sample_4	82.0
Gold standard	strain	True positives	sample_4	82.0
Gold standard	strain	False negatives	sample_4	0.0
Gold standard	strain	False positives	sample_4	0.0
Gold standard	strain	Completeness	sample_4	1.0
Gold standard	strain	Purity	sample_4	1.0
Gold standard	strain	F1 score	sample_4	1.0
Gold standard	strain	Jaccard index	sample_4	1.0
Gold standard	strain	Taxon counts	sample_4	82.0
Gold standard	superkingdom	L1 norm error	sample_4	0.0
Gold standard	phylum	L1 norm error	sample_4	0.0
Gold standard	class	L1 norm error	sample_4	0.0
Gold standard	order	L1 norm error	sample_4	0.0
Gold standard	family	L1 norm error	sample_4	0.0
Gold standard	genus	L1 norm error	sample_4	0.0
Gold standard	species	L1 norm error	sample_4	0.0
Gold standard	strain	L1 norm error	sample_4	0.0
Gold standard	na	Weighted UniFrac error	sample_4	0.0
Gold standard	na	Unweighted UniFrac error	sample_4	0.0
Gold standard	superkingdom	Bray-Curtis distance	sample_5	0.0
Gold standard	phylum	Bray-Curtis distance	sample_5	0.0
Gold standard	class	Bray-Curtis distance	sample_5	0.0
Gold standard	order	Bray-Curtis distance	sample_5	0.0
Gold standard	family	Bray-Curtis distance	sample_5	0.0
Gold standard	genus	Bray-Curtis distance	sample_5	0.0
Gold standard	species	Bray-Curtis distance	sample_5	0.0
Gold standard	strain	Bray-Curtis distance	sample_5	0.0
Gold standard	superkingdom	Shannon diversity	sample_5	0.0
Gold standard	superkingdom	Shannon equitability	sample_5	0.0
Gold standard	phylum	Shannon diversity	sample_5	0.29440684981798565
Gold standard	phylum	Shannon equitability	sample_5	0.42473930223614975
Gold standard	class	Shannon diversity	sample_5	1.022695765537871
Gold standard	class	Shannon equitability	sample_5	0.6354366065548652
Gold standard	order	Shannon diversity	sample_5	2.2493729314856976
Gold standard	order	Shannon equitability	sample_5	0.8306245322077762
Gold standard	family	Shannon diversity	sample_5	3.0321334202588477
Gold standard	family	Shannon equitability	sample_5	0.9306456653062056
Gold standard	genus	Shannon diversity	sample_5	3.616933513811698
Gold standard	genus	Shannon equitability	sample_5	0.91539114552778
Gold standard	species	Shannon diversity	sample_5	4.25005611543816
Gold standard	species	Shannon equitability	sample_5	0.9618034440842617
Gold standard	strain	Shannon diversity	sample_5	4.25005611543816
Gold standard	strain	Shannon equitability	sample_5	0.9618034440842617
Gold standard	superkingdom	True positives	sample_5	1.0
Gold standard	superkingdom	False negatives	sample_5	0.0
Gold standard	superkingdom	False positives	sample_5	0.0
Gold standard	superkingdom	Completeness	sample_5	1.0
Gold standard	superkingdom	Purity	sample_5	1.0
Gold standard	superkingdom	F1 score	sample_5	1.0
Gold standard	superkingdom	Jaccard index	sample_5	1.0
Gold standard	superkingdom	Taxon counts	sample_5	1.0
Gold standard	phylum	True positives	sample_5	2.0
Gold standard	phylum	False negatives	sample_5	0.0
Gold standard	phylum	False positives	sample_5	0.0
Gold standard	phylum	Completeness	sample_5	1.0
Gold standard	phylum	Purity	sample_5	1.0
Gold standard	phylum	F1 score	sample_5	1.0
Gold standard	phylum	Jaccard index	sample_5	1.0
Gold standard	phylum	Taxon counts	sample_5	2.0
Gold standard	class	True positives	sample_5	5.0
Gold standard	class	False negatives	sample_5	0.0
Gold standard	class	False positives	sample_5	0.0
Gold standard	class	Completeness	sample_5	1.0
Gold standard	class	Purity	sample_5	1.0
Gold standard	class	F1 score	sample_5	1.0
Gold standard	class	Jaccard index	sample_5	1.0
Gold standard	class	Taxon counts	sample_5	5.0
Gold standard	order	True positives	sample_5	15.0
Gold standard	order	False negatives	sample_5	0.0
Gold standard	order	False positives	sample_5	0.0
Gold standard	order	Completeness	sample_5	1.0
Gold standard	order	Purity	sample_5	1.0
Gold standard	order	F1 score	sample_5	1.0
Gold standard	order	Jaccard index	sample_5	1.0
Gold standard	order	Taxon counts	sample_5	15.0
Gold standard	family	True positives	sample_5	26.0
Gold standard	family	False negatives	sample_5	0.0
Gold standard	family	False positives	sample_5	0.0
Gold standard	family	Completeness	sample_5	1.0
Gold standard	family	Purity	sample_5	1.0
Gold standard	family	F1 score	sample_5	1.0
Gold standard	family	Jaccard index	sample_5	1.0
Gold standard	family	Taxon counts	sample_5	26.0
Gold standard	genus	True positives	sample_5	52.0
Gold standard	genus	False negatives	sample_5	0.0
Gold standard	genus	False positives	sample_5	0.0
